EVSE_Type,Year,Accessibility
All EVSE,Year2014,39.58126844
All EVSE,Year2014,107.2054048
All EVSE,Year2014,437.4607935
All EVSE,Year2014,305.2075939
All EVSE,Year2014,126.4444386
All EVSE,Year2014,85.27584564
All EVSE,Year2014,330.4868715
All EVSE,Year2014,188.2879546
All EVSE,Year2014,77.06559045
All EVSE,Year2014,181.1235765
All EVSE,Year2014,1051.424459
All EVSE,Year2014,305.8163269
All EVSE,Year2014,115.992292
All EVSE,Year2014,187.675227
All EVSE,Year2014,209.3686325
All EVSE,Year2014,342.4922225
All EVSE,Year2014,309.8339067
All EVSE,Year2014,254.924688
All EVSE,Year2014,407.4615449
All EVSE,Year2014,264.151494
All EVSE,Year2014,524.4622468
All EVSE,Year2014,118.9733427
All EVSE,Year2014,300.1959755
All EVSE,Year2014,413.034892
All EVSE,Year2014,338.5585047
All EVSE,Year2014,77.52604961
All EVSE,Year2014,2.438080988
All EVSE,Year2014,16.44815177
All EVSE,Year2014,23.09170294
All EVSE,Year2014,20.39729128
All EVSE,Year2014,28.7085484
All EVSE,Year2014,2.243661076
All EVSE,Year2014,15.17095405
All EVSE,Year2014,42.06668673
All EVSE,Year2014,30.94810522
All EVSE,Year2014,18.01450302
All EVSE,Year2014,30.98609741
All EVSE,Year2014,13.36336181
All EVSE,Year2014,4.961272526
All EVSE,Year2014,31.43042067
All EVSE,Year2014,2.102291304
All EVSE,Year2014,20.15321898
All EVSE,Year2014,28.78311677
All EVSE,Year2014,31.93062041
All EVSE,Year2014,8.61022016
All EVSE,Year2014,15.25870887
All EVSE,Year2014,8.13183749
All EVSE,Year2014,39.60061838
All EVSE,Year2014,17.01258101
All EVSE,Year2014,47.06541836
All EVSE,Year2014,26.5490765
All EVSE,Year2014,103.5295652
All EVSE,Year2014,22.29357812
All EVSE,Year2014,25.35130889
All EVSE,Year2014,4.941376287
All EVSE,Year2014,2.604777823
All EVSE,Year2014,211.0497652
All EVSE,Year2014,146.3981402
All EVSE,Year2014,100.3414257
All EVSE,Year2014,123.2693882
All EVSE,Year2014,259.0668425
All EVSE,Year2014,17.02775989
All EVSE,Year2014,5.811825656
All EVSE,Year2014,20.10438173
All EVSE,Year2014,32.83869398
All EVSE,Year2014,43.24848525
All EVSE,Year2014,55.63338262
All EVSE,Year2014,71.52191381
All EVSE,Year2014,32.9787533
All EVSE,Year2014,85.39211137
All EVSE,Year2014,30.94861465
All EVSE,Year2014,95.80253353
All EVSE,Year2014,14.93039088
All EVSE,Year2014,28.88617725
All EVSE,Year2014,261.832579
All EVSE,Year2014,16.17581292
All EVSE,Year2014,108.7909019
All EVSE,Year2014,81.92792086
All EVSE,Year2014,99.03619151
All EVSE,Year2014,41.46880189
All EVSE,Year2014,97.56771717
All EVSE,Year2014,142.3052599
All EVSE,Year2014,47.36611822
All EVSE,Year2014,606.3447948
All EVSE,Year2014,80.55684086
All EVSE,Year2014,22.77809268
All EVSE,Year2014,312.0261531
All EVSE,Year2014,4338.329148
